"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,1.095528901E-1,1.336936355E-1,-5.458639562E-2,1.812608575E-1
2.406094000E-3,9.305953979E-2,1.263632476E-1,-5.947331339E-2,1.678237865E-1
4.811458000E-3,7.412273437E-2,1.141459569E-1,-6.374936551E-2,1.502912534E-1
7.215990000E-3,5.885111541E-2,1.104807779E-1,-6.924714893E-2,1.430546179E-1
9.621354000E-3,4.602295905E-2,1.129242256E-1,-7.474493235E-2,1.430272646E-1
1.202750000E-2,3.380566835E-2,1.220872030E-1,-8.024271578E-2,1.499566663E-1
1.443276000E-2,2.219923586E-2,1.226980612E-1,-8.390790224E-2,1.502935672E-1
1.683734400E-2,1.303626411E-2,1.318610311E-1,-8.940568566E-2,1.598457141E-1
1.924276000E-2,2.651564777E-3,1.398022771E-1,-9.184914827E-2,1.672960654E-1
2.164885400E-2,-4.067947157E-3,1.544630229E-1,-9.551433474E-2,1.816545122E-1
2.405421900E-2,-1.506351214E-2,1.624042690E-1,-9.917952120E-2,1.908890605E-1
2.645875000E-2,-2.666994184E-2,1.697346568E-1,-1.028447077E-1,2.002452831E-1
2.886411500E-2,-4.071982950E-2,1.770650148E-1,-1.077316254E-1,2.112255361E-1
3.127026000E-2,-5.538058281E-2,1.843954027E-1,-1.132294089E-1,2.233597379E-1
3.367562500E-2,-7.187393308E-2,1.886714697E-1,-1.193380579E-1,2.345300787E-1
3.608010400E-2,-9.019987285E-2,1.880605817E-1,-1.260575652E-1,2.437074254E-1
3.848552100E-2,-1.073040888E-1,1.837845445E-1,-1.309444904E-1,2.498747403E-1
4.089166700E-2,-1.286843419E-1,1.776759028E-1,-1.364422739E-1,2.583503056E-1
4.329692700E-2,-1.494537443E-1,1.740106940E-1,-1.413291842E-1,2.694254658E-1
4.570151000E-2,-1.677796841E-1,1.703455150E-1,-1.468269676E-1,2.805811385E-1
4.810692700E-2,-1.879382282E-1,1.691237986E-1,-1.529356241E-1,2.954876343E-1
5.051302100E-2,-2.087076306E-1,1.703455150E-1,-1.584333926E-1,3.125341733E-1
5.291838500E-2,-2.300878912E-1,1.727889776E-1,-1.639311761E-1,3.311644591E-1
5.532291700E-2,-2.502464354E-1,1.758432984E-1,-1.712615639E-1,3.505348304E-1
5.772828100E-2,-2.704049647E-1,1.764541566E-1,-1.816462576E-1,3.704730452E-1
6.013442700E-2,-2.881200314E-1,1.788976192E-1,-1.944744140E-1,3.909447638E-1
6.253979200E-2,-3.082785606E-1,1.801193655E-1,-2.097460330E-1,4.140918438E-1
6.494427100E-2,-3.272153735E-1,1.850062609E-1,-2.256285250E-1,4.384124183E-1
6.734968700E-2,-3.479847908E-1,1.892823279E-1,-2.433435917E-1,4.649057086E-1
6.975578100E-2,-3.650889993E-1,1.935583651E-1,-2.598369420E-1,4.881291371E-1
7.216114600E-2,-3.840258121E-1,1.966126859E-1,-2.751085460E-1,5.116806472E-1
7.456567700E-2,-4.023517370E-1,1.947801113E-1,-2.891584635E-1,5.323897342E-1
7.697104200E-2,-4.164016247E-1,1.929475069E-1,-3.019866049E-1,5.493768861E-1
7.937718700E-2,-4.316732585E-1,1.837845445E-1,-3.129821718E-1,5.639826245E-1
8.178255200E-2,-4.457231462E-1,1.776759028E-1,-3.215342760E-1,5.776003291E-1
8.418703100E-2,-4.579404294E-1,1.733998358E-1,-3.276429176E-1,5.891746952E-1
8.659244800E-2,-4.689359963E-1,1.679020524E-1,-3.319189847E-1,5.985501484E-1
8.899859400E-2,-4.768772423E-1,1.654585898E-1,-3.337515891E-1,6.051269060E-1
9.140385400E-2,-4.860402048E-1,1.642368734E-1,-3.313081264E-1,6.107158962E-1
9.380843700E-2,-4.952031672E-1,1.648477316E-1,-3.264212012E-1,6.155905717E-1
9.621385400E-2,-4.994792342E-1,1.605716944E-1,-3.190908134E-1,6.140698019E-1
9.861994800E-2,-5.037552714E-1,1.532413065E-1,-3.117604554E-1,6.119206264E-1
1.010253120E-1,-5.086421967E-1,1.373588145E-1,-3.013757467E-1,6.069692487E-1
1.034298440E-1,-5.116965175E-1,1.153676882E-1,-2.897693217E-1,5.992572814E-1
1.058352080E-1,-5.153617263E-1,8.726791292E-2,-2.799954712E-1,5.929678418E-1
1.082413540E-1,-5.184160471E-1,5.367035419E-2,-2.708325088E-1,5.873550482E-1
1.106467190E-1,-5.190268755E-1,1.885106415E-2,-2.604478002E-1,5.810140418E-1
1.130511980E-1,-5.190268755E-1,-1.596822403E-2,-2.518956959E-1,5.771441096E-1
1.154566150E-1,-5.196377635E-1,-5.506356806E-2,-2.470087856E-1,5.779868008E-1
1.178627080E-1,-5.190268755E-1,-9.232631326E-2,-2.439544648E-1,5.808845208E-1
1.202680730E-1,-5.171943307E-1,-1.247021481E-1,-2.445653230E-1,5.855363342E-1
1.226726040E-1,-5.141400099E-1,-1.528019309E-1,-2.470087856E-1,5.905097120E-1
1.250779690E-1,-5.086421967E-1,-1.741821766E-1,-2.531174123E-1,5.942429968E-1
1.274841150E-1,-5.013118386E-1,-1.882320642E-1,-2.622804046E-1,5.962682955E-1
1.298894790E-1,-4.939814508E-1,-2.004493773E-1,-2.714433670E-1,5.982299960E-1
